TR1,44,"9","1","2","0",29,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR2,31,"4","0","2","0",2,"1","1","0",5,"5",0,1,-1,0,"0","0"
TR3,42,"4","2","0","1",2,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR4,58,"2","0","1","0",121,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR5,43,"9","1","2","0",593,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR6,57,"7","0","2","0",162,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR7,51,"2","0","1","0",229,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR8,45,"11","1","0","0",13,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR9,31,"7","0","2","0",0,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR10,40,"2","0","1","0",0,"1","1","0",5,"5",0,1,-1,0,"0","0"
TR11,44,"11","0","2","0",-372,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR12,37,"6","1","0","0",255,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR13,52,"4","0","2","0",113,"1","1","0",5,"5",0,1,-1,0,"0","0"
TR14,46,"6","1","2","0",-246,"1","0","0",5,"5",0,2,-1,0,"0","0"
TR15,34,"9","1","2","0",265,"1","1","0",5,"5",0,1,-1,0,"0","0"
TR16,57,"9","0","2","0",839,"0","1","0",5,"5",0,1,-1,0,"0","0"
TR17,49,"6","0","0","0",378,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR18,57,"9","2","2","0",63,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR19,34,"11","2","2","0",506,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR20,50,"6","0","2","0",49,"1","0","0",5,"5",0,2,-1,0,"0","0"
TR21,60,"3","0","0","0",104,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR22,54,"2","0","2","0",529,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR23,34,"11","1","1","0",-171,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR24,44,"9","0","2","0",0,"1","0","0",5,"5",0,2,-1,0,"0","0"
TR25,54,"3","0","2","0",1291,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR26,30,"6","0","0","0",0,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR27,42,"11","1","2","0",-76,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR28,46,"7","0","1","0",179,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR29,53,"9","2","2","0",989,"1","0","0",5,"5",0,1,-1,0,"0","0"
TR30,57,"3","0","1","0",249,"1","0","0",5,"5",0,1,-1,0,"0","0"
